year,person_id,office,former,source_page
1932,P00016,cabinet,False,528
1932,P00018,parliament,False,528
1932,P00028,judicial,False,529
1932,P00041,cabinet,True,530
1932,P00045,parliament,False,531
1932,P00046,judicial,False,531
1932,P00056,diplomatic,False,533
1932,P00064,cabinet,False,533
1932,P00071,cabinet,False,534
1932,P00072,parliament,False,534
1932,P00075,cabinet,False,534
1932,P00100,parliament,False,537
1932,P00100,provincial,True,537
1932,P00106,diplomatic,False,538
1932,P00110,cabinet,True,539
1932,P00110,parliament,False,539
1932,P00122,diplomatic,False,540
1932,P00133,cabinet,True,541
1938,P00028,parliament,False,273
1938,P00036,municipal,False,258
1938,P00037,parliament,False,258
1938,P00045,cabinet,True,260
1938,P00046,judicial,False,260
1938,P00065,parliament,False,266
1938,P00100,parliament,False,278
1938,P00164,judicial,False,249
1938,P00173,judicial,False,250
1938,P00194,parliament,False,253
1938,P00195,parliament,False,253
1938,P00202,cabinet,False,253
1938,P00277,parliament,False,261
1938,P00278,parliament,True,261
1938,P00279,judicial,False,261
1938,P00280,parliament,False,261
1938,P00284,judicial,False,262
1938,P00359,cabinet,False,269
1938,P00380,parliament,False,271
1938,P00421,parliament,False,276
1938,P00428,parliament,False,277
1938,P00476,judicial,False,282
1938,P00499,diplomatic,False,284
1938,P00513,parliament,False,287
1938,P00536,provincial,False,290
1938,P00538,cabinet,False,290
1938,P00538,parliament,False,290
1938,P00539,cabinet,False,290
1938,P00540,cabinet,False,290
1938,P00542,cabinet,False,290
1938,P00545,diplomatic,True,291
1938,P00611,parliament,False,299
1938,P00621,parliament,False,300
1938,P00626,cabinet,False,301
1938,P00626,parliament,False,301
1942,P00036,municipal,False,69
1942,P00042,parliament,False,69
1942,P00056,cabinet,True,78
1942,P00100,parliament,False,92
1942,P00100,provincial,True,92
1942,P00124,judicial,False,101
1942,P00133,cabinet,True,105
1942,P00138,municipal,True,107
1942,P00166,parliament,False,57
1942,P00421,parliament,False,57
1942,P00513,parliament,True,101
1942,P00539,cabinet,False,105
1942,P00545,diplomatic,True,105
1942,P00611,parliament,False,113
1942,P00631,parliament,False,58
1942,P00633,cabinet,True,58
1942,P00642,cabinet,False,59
1942,P00645,parliament,False,59
1942,P00647,judicial,False,59
1942,P00656,parliament,False,61
1942,P00657,cabinet,True,61
1942,P00657,diplomatic,True,61
1942,P00671,cabinet,False,62
1942,P00714,cabinet,False,66
1942,P00761,parliament,False,71
1942,P00774,parliament,True,72
1942,P00801,cabinet,True,75
1942,P00802,parliament,True,75
1942,P00828,parliament,False,78
1942,P00856,parliament,False,81
1942,P00902,cabinet,True,84
1942,P00913,municipal,False,85
1942,P00914,cabinet,True,85
1942,P00914,judicial,False,85
1942,P00914,parliament,False,85
1942,P00920,parliament,False,86
1942,P00922,cabinet,True,86
1942,P00922,parliament,False,86
1942,P00960,cabinet,True,91
1942,P01000,cabinet,True,95
1942,P01012,judicial,False,96
1942,P01069,parliament,False,102
1942,P01082,judicial,False,103
1942,P01087,provincial,True,104
1942,P01090,cabinet,True,104
1942,P01105,cabinet,False,107
1942,P01105,diplomatic,False,107
1942,P01105,municipal,False,107
1942,P01114,cabinet,True,108
1942,P01133,parliament,False,109
1942,P01159,diplomatic,False,112
1942,P01179,provincial,False,114
1942,P01182,parliament,True,115
1942,P01185,parliament,False,115
1942,P01189,cabinet,False,116
1942,P01189,diplomatic,True,116
1947,P00037,parliament,False,72
1947,P00042,parliament,False,72
1947,P00056,diplomatic,True,80
1947,P00065,cabinet,False,88
1947,P00100,parliament,False,97
1947,P00124,judicial,False,107
1947,P00138,municipal,True,113
1947,P00219,cabinet,False,67
1947,P00421,parliament,False,58
1947,P00513,parliament,True,106
1947,P00539,cabinet,True,110
1947,P00539,diplomatic,True,110
1947,P00631,parliament,False,58
1947,P00647,judicial,False,60
1947,P00656,parliament,False,62
1947,P00657,cabinet,False,62
1947,P00657,diplomatic,True,62
1947,P00684,cabinet,True,65
1947,P00684,judicial,False,65
1947,P00761,cabinet,False,73
1947,P00774,parliament,True,75
1947,P00778,provincial,False,75
1947,P00801,parliament,False,78
1947,P00802,parliament,False,78
1947,P00828,cabinet,False,80
1947,P00828,parliament,False,80
1947,P00856,parliament,False,84
1947,P00883,cabinet,False,86
1947,P00907,parliament,False,88
1947,P00914,cabinet,True,90
1947,P00914,judicial,False,90
1947,P00914,parliament,False,90
1947,P00920,parliament,False,91
1947,P00922,parliament,False,91
1947,P00960,cabinet,True,95
1947,P00960,parliament,False,95
1947,P00989,parliament,False,98
1947,P01000,cabinet,False,100
1947,P01087,parliament,False,114
1947,P01087,provincial,True,110
1947,P01106,cabinet,True,113
1947,P01114,cabinet,True,114
1947,P01124,parliament,False,115
1947,P01133,parliament,False,116
1947,P01206,diplomatic,True,59
1947,P01206,parliament,False,59
1947,P01209,cabinet,True,59
1947,P01270,judicial,False,122
1947,P01272,diplomatic,False,68
1947,P01292,diplomatic,False,113
1947,P01292,municipal,False,113
1947,P01297,judicial,True,73
1947,P01297,municipal,False,73
1947,P01332,diplomatic,True,78
1947,P01334,judicial,False,78
1947,P01348,municipal,True,81
1947,P01348,parliament,True,81
1947,P01349,judicial,False,82
1947,P01378,parliament,True,84
1947,P01525,judicial,False,106
1947,P01546,judicial,False,108
1947,P01546,parliament,True,108
1947,P01554,cabinet,True,110
1947,P01554,parliament,False,110
1947,P01573,cabinet,True,113
1947,P01614,judicial,False,121
1947,P01615,parliament,True,121
1950,P00002,cabinet,True,850
1950,P00002,judicial,False,850
1950,P00028,parliament,False,840
1950,P00037,parliament,False,857
1950,P00042,parliament,False,857
1950,P00056,diplomatic,True,867
1950,P00065,cabinet,True,876
1950,P00124,judicial,False,900
1950,P00219,cabinet,False,853
1950,P00421,parliament,False,840
1950,P00456,parliament,False,899
1950,P00513,parliament,True,899
1950,P00539,cabinet,True,904
1950,P00539,diplomatic,True,904
1950,P00568,municipal,False,916
1950,P00617,municipal,False,915
1950,P00631,parliament,False,841
1950,P00642,cabinet,False,843
1950,P00657,cabinet,True,845
1950,P00657,diplomatic,True,845
1950,P00666,parliament,False,847
1950,P00725,parliament,False,854
1950,P00774,parliament,True,861
1950,P00802,parliament,False,864
1950,P00828,cabinet,False,867
1950,P00828,parliament,False,867
