year,person_id,cabinet,parliament,diplomatic,provincial,judicial,court,municipal,all_former,n_offices,political,national
1932,P00016,True,False,False,False,False,False,False,False,1,True,True
1932,P00018,False,True,False,False,False,False,False,False,1,True,True
1932,P00028,False,False,False,False,True,False,False,False,1,True,False
1932,P00041,True,False,False,False,False,False,False,True,1,True,True
1932,P00045,False,True,False,False,False,False,False,False,1,True,True
1932,P00046,False,False,False,False,True,False,False,False,1,True,False
1932,P00056,False,False,True,False,False,False,False,False,1,True,True
1932,P00064,True,False,False,False,False,False,False,False,1,True,True
1932,P00071,True,False,False,False,False,False,False,False,1,True,True
1932,P00072,False,True,False,False,False,False,False,False,1,True,True
1932,P00075,True,False,False,False,False,False,False,False,1,True,True
1932,P00100,False,True,False,True,False,False,False,False,2,True,True
1932,P00106,False,False,True,False,False,False,False,False,1,True,True
1932,P00110,True,True,False,False,False,False,False,False,2,True,True
1932,P00122,False,False,True,False,False,False,False,False,1,True,True
1932,P00133,True,False,False,False,False,False,False,True,1,True,True
1938,P00028,False,True,False,False,False,False,False,False,1,True,True
1938,P00036,False,False,False,False,False,False,True,False,1,True,False
1938,P00037,False,True,False,False,False,False,False,False,1,True,True
1938,P00045,True,False,False,False,False,False,False,True,1,True,True
1938,P00046,False,False,False,False,True,False,False,False,1,True,False
1938,P00065,False,True,False,False,False,False,False,False,1,True,True
1938,P00100,False,True,False,False,False,False,False,False,1,True,True
1938,P00164,False,False,False,False,True,False,False,False,1,True,False
1938,P00173,False,False,False,False,True,False,False,False,1,True,False
1938,P00194,False,True,False,False,False,False,False,False,1,True,True
1938,P00195,False,True,False,False,False,False,False,False,1,True,True
1938,P00202,True,False,False,False,False,False,False,False,1,True,True
1938,P00277,False,True,False,False,False,False,False,False,1,True,True
1938,P00278,False,True,False,False,False,False,False,True,1,True,True
1938,P00279,False,False,False,False,True,False,False,False,1,True,False
1938,P00280,False,True,False,False,False,False,False,False,1,True,True
1938,P00284,False,False,False,False,True,False,False,False,1,True,False
1938,P00359,True,False,False,False,False,False,False,False,1,True,True
1938,P00380,False,True,False,False,False,False,False,False,1,True,True
1938,P00421,False,True,False,False,False,False,False,False,1,True,True
1938,P00428,False,True,False,False,False,False,False,False,1,True,True
1938,P00476,False,False,False,False,True,False,False,False,1,True,False
1938,P00499,False,False,True,False,False,False,False,False,1,True,True
1938,P00513,False,True,False,False,False,False,False,False,1,True,True
