company_id,label,name_key,years_present,n_waves,name_variants
C00001,A- lexandria Insurance Co,lexandria insurance,1932;1942,2,A lexandria Insurance | A- lexandria Insurance Co
C00002,The Agricultural Bank of Egypt,agricultural bank egypt,1932,1,Agricultural Bank of Egypt | The Agricultural Bank of Egypt
C00003,"« Al-Chark » (L'Orient), Société Anonyme Egyptienne cl' Assurances sur la Vie",al chark orient assurances sur vie,1932;1938;1942;1950,4,"Al Chark (L'Orient) Société Anonyme Egyptienne d'Assurances sur la Vie | Al Chark 1(L'Orient), Société Anonyme Egyptienne d'Assurances sur la Vie | Al Chark(L'Orient) Société Anonyme Egyptienne d'Assurances sur la Vie | « Al Chark » (L'Orient), Société Anonyme Egyptienne d'Assurance sur la Vie | « Al-Chark » (L'Orient), Société Anonyme Egyptienne cl' Assurances sur la Vie | «Al Chark» (L'Orient) Société Anonyme Egyptienne d'Assurance sur la Vie | «Al Chark» (L'Orient), Cie. d'Assurances sur la Vie S.A.E | «Al-Chark» (L'ORIENT), S.A.E. d'Assurances sur la Vie"
C00004,Alex andr-ia Insurance,alex andr ia insurance,1932,1,Alex andr-ia Insurance
C00005,Alexandria & Ramleh RaihYay Cy Ltd,alexandria ramleh raihyay cy,1932,1,Alexandria & Ramleh RaihYay Cy Ltd
C00006,Alexandria & Ramleh Rail- ways Co,alexandria ramleh rail ways co,1932;1942,2,Alexandria & Ramleh Rail ways Co | Alexandria & Ramleh Rail- ways Co
C00007,The Alexandria & Ramleh Railways Co. Ltd,alexandria ramleh railways cy,1932;1938;1942;1947,4,Alexandria & Hamleh Hailways Co | Alexandria & Ramleh Railways Co | Alexandria & Ramleh Railways Co. Lid | Alexandria & Ramleh Railways Co. Ud | Alexandria & Ramleh Railways Cy. Ltd | Alexandria & Ramlel1 Railways Co | Alexandria .& Ramleh Railways Co | Alexandria& Ramleh Railways Co | Alexandria& Ramleh Railways Co. Ltd | The Alexandria & Ramleh Hailways Co | The Alexandria & Ramleh Railways Co. Ltd | The Alexandria & Ramleh Railways Gy
C00008,Alexandria Commercial Co,alexandria commercial co,1932;1938;1947;1950,4,"Alexandria Commercial Co | Alexandria Commercial Co. S.A | Alexandria Commercial Co., S.A.E"
C00009,Alexandria Commercial Cy,alexandria commercial cy,1932,1,Alexandria Commercial Cy
C00010,Alexandria Insurance Co,alexandria insurance co,1932;1938;1942;1947;1950,5,"Alexandria Insumnce Co | Alexandria Insurance | Alexandria Insurance Co | Alexandria Insurance Co. (S.A.E.) | Alexandria Insurance Co. S.A.E | Alexandria Insurance Co., S. A. E | Alexandria Insurance Co., S.A.E | Alexandria Insurance Co.· S.A.E | Alexandria Insurance Cy | Alexandria lnsurance Co | Alexandria. Insurance Co. S.A.E | The Alexandria Insurance Co | The Alexandria Insurance Co., S.A.E | The Alexandria Insurance Cy | The Alexandria Insurance Cy., S. A. E | The Alexandria Insurance Gy"
