year,graph,nodes,edges,density,components,largest_component,largest_component_share,mean_degree
1932,affiliation,342,359,0.006156642828968805,31,250,0.7309941520467836,2.0994152046783627
1932,company_interlocks,183,481,0.02888368462138954,31,140,0.7650273224043715,5.256830601092896
1932,person_comembership,159,358,0.02850091553220285,31,110,0.6918238993710691,4.50314465408805
1938,affiliation,939,869,0.0019732465014044337,157,485,0.516506922257721,1.8509052183173589
1938,company_interlocks,484,1371,0.011729377342025563,157,273,0.5640495867768595,5.6652892561983474
1938,person_comembership,455,741,0.007174323473882945,157,212,0.46593406593406594,3.257142857142857
1942,affiliation,1428,1318,0.0012935798005256763,236,727,0.5091036414565826,1.8459383753501402
1942,company_interlocks,696,1953,0.008074919374844952,236,377,0.5416666666666666,5.612068965517241
1942,person_comembership,732,1403,0.005243958048335613,236,350,0.4781420765027322,3.8333333333333335
1947,affiliation,1440,1439,0.001388888888888889,193,887,0.6159722222222223,1.9986111111111111
1947,company_interlocks,693,2255,0.00940453252591981,193,440,0.6349206349206349,6.507936507936508
1947,person_comembership,747,1575,0.005652637359087826,193,447,0.5983935742971888,4.216867469879518
1950,affiliation,2123,2057,0.0009132063309127669,266,1320,0.6217616580310881,1.9378238341968912
1950,company_interlocks,853,1851,0.005093869194062382,266,541,0.634232121922626,4.339976553341149
1950,person_comembership,1270,2799,0.003473501982464958,266,779,0.6133858267716535,4.407874015748032
