mention_id,year,person_id,person_label,person_printed,rank,honorific,company_id,company_label,company_printed,role,order,city,capital_currency,capital_amount,source_edition,source_page
0,1932,P00001,Abdel Hadi Mohamed,Abdel Hadi Mohamed Bey,bey,,C00031,Banque de Crédit Agricole,Banque de Crédit Agricole,director,0,,,,3,527
1,1932,P00002,Badaoui,S.E. Abdel Hamid Badaoui Pacha,pasha,s.e.,C00032,Banque du Crédit Agricole d'Egypte,Banque de Crédit Agricole d'Egypte,director,0,,,,3,527
2,1932,P00003,Abaza,Abdel Hamid Bey Abaza,,,C00222,The United Egyptian Nile Transport Co,The United Egyptian Nile Transport Co,director,0,,,,3,527
3,1932,P00004,Abdy Richard,Abdy Richard,,,C00091,Land Bank of Egypt,Land Bank of Egypt,president,0,,,,3,527
4,1932,P00004,Abdy Richard,Abdy Richard,,,C00100,National Insurance Company of Egypt,National Insurance Company of Egypt,president,0,,,,3,527
5,1932,P00004,Abdy Richard,Abdy Richard,,,C00005,Alexandria & Ramleh RaihYay Cy Ltd,Alexandria & Ramleh RaihYay Cy Ltd,vice_president,0,,,,3,527
6,1932,P00004,Abdy Richard,Abdy Richard,,,C00014,Alexandria Water Company,Alexandria Water Company,director,0,,,,3,527
7,1932,P00005,Adda Abram,Adda Abram Bey,bey,,C00066,Eastern Export Cy,"Eastern Export Cy., S. A",president,0,,,,3,527
8,1932,P00005,Adda Abram,Adda Abram Bey,bey,,C00172,Société Générale de Pressage cl de Dépôts,Société Générale des Pressages et Dépôts,director,0,,,,3,527
9,1932,P00006,Adda César V,Adda César V,,,C00142,Société Anonyme des Immeubles de l'Est,Société Anonyme des Immeubles de l'Est,managing_director,0,,,,3,527
10,1932,P00006,Adda César V,Adda César V,,,C00066,Eastern Export Cy,Eastern Export Cy,managing_director,0,,,,3,527
11,1932,P00007,Adda Fernand C.A,Adda Fernand C,,,C00142,Société Anonyme des Immeubles de l'Est,Société Anonyme des Immeubles de l'Est,managing_director,0,,,,3,527
12,1932,P00007,Adda Fernand C.A,Adda Fernand C,,,C00066,Eastern Export Cy,"Eastern Export Cy., S. A",managing_director,0,,,,3,527
13,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00123,S. A. des Immeubles de l'Est,S. A. des Immeubles de l'Est,director,0,,,,3,527
14,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00125,S.A. du Béhéra,S. A. du Béhéra,director,0,,,,3,527
15,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00034,The Building Lands,The Building Lands,director,0,,,,3,527
16,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00081,The Gharbieh Land Co,Gharbieh Land Cy,director,0,,,,3,527
17,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00089,Koubbeh Gardens,Koubbeh Gardens,director,0,,,,3,527
18,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00065,Easlern Export Cy. S. A,Easlern Export Cy. S. A,managing_director,0,,,,3,527
19,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00142,Société Anonyme des Immeubles de l'Est,Société Anonyme des Immeubles de l'Est,managing_director,0,,,,3,527
20,1932,P00008,Adda Joseph A,Adda A. Joseph,,,C00132,Société Anonyme Agricole et Industrielle d'Egyptc,Société Anonyme Agricole et Industrielle d'Egyptc,director,0,,,,3,527
21,1932,P00009,Adly Yeghen,S.E. Adly Yeghen Pacha,pasha,s.e.,C00052,Société Anonyme des Eaux du Caire,Société Anonyme des Eaux du Caire,president,0,,,,3,527
22,1932,P00009,Adly Yeghen,S.E. Adly Yeghen Pacha,pasha,s.e.,C00235,cl' Administration de The Cairo Electric Rail ways & Helio polis Oases Cy,cl' Administration de The Cairo Electric Rail ways & Helio polis Oases Cy,council_member,0,,,,3,527
23,1932,P00010,Aghion Max César,Aghion César,,,C00227,Tramways d'Alexandrie et Présiclen t de la Société Franco-Egyptienne d'Importation 1(S. A. E.),Tramways d'Alexandrie et Présiclen t de la Société Franco-Egyptienne d'Importation 1(S. A. E.),director,0,,,,3,527
24,1932,P00011,Aghion Gustave,Aghion Gustave,,,C00010,Alexandria Insurance Co,The Alexandria Insurance Cy,director,0,,,,3,528
25,1932,P00012,Aghion Is. Jacques,Aghion Is. Jacques,,,C00042,Chemins de Fer Keneh-Assouan,Chemins de Fer Keneh-Assouan,director,0,,,,3,528
26,1932,P00012,Aghion Is. Jacques,Aghion Is. Jacques,,,C00153,Société Egyptienne d'Entreprises Urbaines et Rurales,Société Egyptienne d'Entreprises Urbaines et Rurales,director,0,,,,3,528
27,1932,P00013,Aghion Maurice,Aghion Maurice,,,C00228,Tramways d'Alexandrie. Aghion Max,Tramways d'Alexandrie. Aghion Max,director,0,,,,3,528
28,1932,P00013,Aghion Maurice,Aghion Maurice,,,C00167,Société Franco-Egyptienne d'Importation,Société Franco-Egyptienne d'Importation,managing_director,0,,,,3,528
29,1932,P00014,Ahmed Midhat Yeghen,S.E. Ahmed Midhat Yeghen Pacha,pasha,s.e.,C00244,tian de la Banque )1isr,tian de la Banque )1isr,president,0,,,,3,528
30,1932,P00014,Ahmed Midhat Yeghen,S.E. Ahmed Midhat Yeghen Pacha,pasha,s.e.,C00165,Société Foncière d'Egypte,Société Foncière d'Egypte,vice_president,0,,,,3,528
31,1932,P00015,Abboud,S.E. Ahmed Pacha Abboud,,s.e.,C00181,Société des Automobiles,Société des Automobiles,president,0,,,,3,528
32,1932,P00015,Abboud,S.E. Ahmed Pacha Abboud,,s.e.,C00105,Omnibus du Caire,Omnibus du Caire,president,0,,,,3,528
33,1932,P00015,Abboud,S.E. Ahmed Pacha Abboud,,s.e.,C00226,"Tilbury Contracting & Dredging Co (Egypt), Ltd","Tilbury Contracting & Dredging Co (Egypt), Ltd",president,0,,,,3,528
34,1932,P00015,Abboud,S.E. Ahmed Pacha Abboud,,s.e.,C00045,Clothing & Equipment Company S. A,Clothing & Equipment Company S. A,president,0,,,,3,528
35,1932,P00015,Abboud,S.E. Ahmed Pacha Abboud,,s.e.,C00101,National Petroleum Cy,National Petroleum Cy,president,0,,,,3,528
36,1932,P00015,Abboud,S.E. Ahmed Pacha Abboud,,s.e.,C00158,Société Egyptienne de Pétrole (S.E. P.),Société Egyptienne de Pétrole (S.E. P.),vice_president,0,,,,3,528
37,1932,P00016,Ahmed Pacha Abdel Wahab,S.E. Ahmed Pacha Abdel Wahab,,s.e.,C00032,Banque du Crédit Agricole d'Egypte,Banque de Crédit Agricole d'Egypte,director,0,,,,3,528
38,1932,P00017,Alby Albert,Alby Albert,,,C00126,"S.A. de Nettoyage et Pressage de Coton, S.A.E",S. A. du Nettoyage et Pressage du Coton,director,0,,,,3,528
39,1932,P00018,Allam Mohamed,S.E. Allam Mohamed Pacha,pasha,s.e.,C00032,Banque du Crédit Agricole d'Egypte,Banque de Crédit Agricole d'Egypte,director,0,,,,3,528
40,1932,P00019,Aly Bey Emine Yehia,Aly Bey Emine Yehia,,,C00212,The Egyptian Produce Trading Cy. S. A. E,The Egyptian Produce Trading Cy. S. A. E,delegate,0,,,,3,528
41,1932,P00019,Aly Bey Emine Yehia,Aly Bey Emine Yehia,,,C00010,Alexandria Insurance Co,"The Alexandria Insurance Cy., S. A. E",director,0,,,,3,528
42,1932,P00019,Aly Bey Emine Yehia,Aly Bey Emine Yehia,,,C00153,Société Egyptienne d'Entreprises Urbaines et Rurales,Société Egyptienne d'Entreprises Urbaines et Rurales,vice_president,0,,,,3,528
43,1932,P00019,Aly Bey Emine Yehia,Aly Bey Emine Yehia,,,C00153,Société Egyptienne d'Entreprises Urbaines et Rurales,Société Egyptienne d'Entreprises Urbaines et Rurales,president,0,,,,3,528
44,1932,P00020,Arcache Antoine,Arcache Antoine Bey,bey,,C00012,Alexandria Pressing Co,Alexandria Pressing,director,0,,,,3,528
45,1932,P00021,Arcoudaris P,Arcoudaris P,,,C00080,Gabbary Land,Gabbary Land,managing_director,0,,,,3,528
46,1932,P00021,Arcoudaris P,Arcoudaris P,,,C00196,The Building Lands (en liquidation),The Building Lands (en liquidation),delegate,0,,,,3,528
47,1932,P00022,Bacos Lebnan,Bacos Lebnan,,,C00230,Union Foncière d'Egypte,Union Foncière d'Egypte,director,0,,,,3,529
48,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00211,Egyptian Hotels,The Egyptian Hotels Ltd,president,0,,,,3,529
49,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00211,Egyptian Hotels,The Egyptian Hotels Ltd,managing_director,0,,,,3,529
50,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00117,S. A. Les Grands Hôtelscl'Egyptc,S. A. Les Grands Hôtelscl'Egyptc,managing_director,0,,,,3,529
51,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00106,Palestine Hotels Co. Ltd,Palestine Hotels Co. Ltd,managing_director,0,,,,3,529
52,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00213,The Electric Light & Power Supply Cy,The Electric Light & Power Supply Cy,president,0,,,,3,529
53,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00223,The Upper Egypt Hotcls Cy,The Upper Egypt Hotcls Cy,president,0,,,,3,529
54,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00223,The Upper Egypt Hotcls Cy,The Upper Egypt Hotcls Cy,managing_director,0,,,,3,529
55,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00114,S.E. de Ciment Portland Tourah,"S. A. Ciment Portland, Tourab",manager,0,,,,3,529
56,1932,P00023,Baehler Charles Commandeur Medjidié,Baehler Charles Commandeur Medjidié,,,C00114,S.E. de Ciment Portland Tourah,"S. A. Ciment Portland, Tourab",director,0,,,,3,529
57,1932,P00024,Banoun Alfred,Banoun Alfred,,,C00174,"Société Immobilière elu Domaine de Siouf. Baron Louis de Benoist d'Erquennes, Agent Supérieur de la Compagnf<> Universelle du Canal Maritime de Suez","Société Immobilière elu Domaine de Siouf. Baron Louis de Benoist d'Erquennes, Agent Supérieur de la Compagnf<> Universelle du Canal Maritime de Suez",director,0,,,,3,529
58,1932,P00025,Barker Henry Kniglll Bachelor,Sir Barker Henry Kniglll Bachelor,,sir,C00103,New Egyptian Co,The New Egyptian Cy,president,0,,,,3,529
