year,level,node_id,label,degree,weighted_degree,betweenness,eigenvector,closeness
1932,company,C00031,Banque de Crédit Agricole,0.0,0.0,0.0,0.0,0.0
1932,company,C00032,Banque du Crédit Agricole d'Egypte,5.0,5.0,0.01561765385294797,0.0,0.17400361822268517
1932,company,C00222,The United Egyptian Nile Transport Co,0.0,0.0,0.0,0.0,0.0
1932,company,C00091,Land Bank of Egypt,5.0,5.0,0.01650972239207533,0.0,0.11864977010205224
1932,company,C00100,National Insurance Company of Egypt,3.0,3.0,0.0,0.0,0.09998109998109997
1932,company,C00005,Alexandria & Ramleh RaihYay Cy Ltd,3.0,3.0,0.0,0.0,0.09998109998109997
1932,company,C00014,Alexandria Water Company,3.0,3.0,0.0,0.0,0.09998109998109997
1932,company,C00066,Eastern Export Cy,2.0,3.0,0.03738127267539032,0.0,0.11997731997731997
1932,company,C00172,Société Générale de Pressage cl de Dépôts,5.0,5.0,0.03261179731767967,0.0,0.10212355212355212
1932,company,C00142,Société Anonyme des Immeubles de l'Est,8.0,9.0,0.04239533651298357,0.0,0.14490504017531045
1932,company,C00123,S. A. des Immeubles de l'Est,7.0,7.0,0.0,0.0,0.14297297297297298
1932,company,C00125,S.A. du Béhéra,11.0,11.0,0.03778892014186132,0.0,0.14466068091700468
1932,company,C00034,The Building Lands,10.0,10.0,0.01650972239207533,0.0,0.14369143012359092
1932,company,C00081,The Gharbieh Land Co,9.0,9.0,0.11516040927805633,0.0,0.17614739996670178
1932,company,C00089,Koubbeh Gardens,7.0,7.0,0.0,0.0,0.14297297297297298
1932,company,C00065,Easlern Export Cy. S. A,7.0,7.0,0.0,0.0,0.14297297297297298
1932,company,C00132,Société Anonyme Agricole et Industrielle d'Egyptc,7.0,7.0,0.0,0.0,0.14297297297297298
1932,company,C00052,Société Anonyme des Eaux du Caire,6.0,7.0,0.12295564795564796,0.0,0.2139246478398598
1932,company,C00227,Tramways d'Alexandrie et Présiclen t de la Société Franco-Egyptienne d'Importation 1(S. A. E.),0.0,0.0,0.0,0.0,0.0
1932,company,C00010,Alexandria Insurance Co,22.0,22.0,0.05398265084114659,0.0,0.2118118118118118
1932,company,C00042,Chemins de Fer Keneh-Assouan,1.0,1.0,0.0,0.0,0.1267116451754561
1932,company,C00153,Société Egyptienne d'Entreprises Urbaines et Rurales,2.0,2.0,0.005584770290652644,0.0,0.15885885885885884
1932,company,C00228,Tramways d'Alexandrie. Aghion Max,1.0,1.0,0.0,0.0,0.0045045045045045045
1932,company,C00167,Société Franco-Egyptienne d'Importation,1.0,1.0,0.0,0.0,0.0045045045045045045
1932,company,C00244,tian de la Banque )1isr,1.0,1.0,0.0,0.0,0.13925938925938924
1932,company,C00165,Société Foncière d'Egypte,11.0,11.0,0.014623673447202857,0.0,0.17908931896405797
1932,company,C00181,Société des Automobiles,11.0,12.0,0.015260986659639006,0.0,0.18730083795585978
1932,company,C00105,Omnibus du Caire,11.0,12.0,0.015260986659639006,0.0,0.18730083795585978
1932,company,C00226,"Tilbury Contracting & Dredging Co (Egypt), Ltd",5.0,5.0,0.0,0.0,0.14714199619859997
1932,company,C00045,Clothing & Equipment Company S. A,5.0,5.0,0.0,0.0,0.14714199619859997
1932,company,C00101,National Petroleum Cy,8.0,8.0,0.011794325179865155,0.0,0.1497099193434272
1932,company,C00158,Société Egyptienne de Pétrole (S.E. P.),5.0,5.0,0.0,0.0,0.14714199619859997
1932,company,C00126,"S.A. de Nettoyage et Pressage de Coton, S.A.E",0.0,0.0,0.0,0.0,0.0
1932,company,C00012,Alexandria Pressing Co,0.0,0.0,0.0,0.0,0.0
1932,company,C00080,Gabbary Land,0.0,0.0,0.0,0.0,0.0
1932,company,C00230,Union Foncière d'Egypte,0.0,0.0,0.0,0.0,0.0
1932,company,C00211,Egyptian Hotels,5.0,5.0,0.0,0.0,0.15373437954083116
1932,company,C00117,S. A. Les Grands Hôtelscl'Egyptc,5.0,5.0,0.0,0.0,0.15373437954083116
1932,company,C00106,Palestine Hotels Co. Ltd,5.0,5.0,0.0,0.0,0.15373437954083116
1932,company,C00213,The Electric Light & Power Supply Cy,9.0,9.0,0.032489503077738374,0.0,0.20184419713831478
1932,company,C00223,The Upper Egypt Hotcls Cy,5.0,5.0,0.0,0.0,0.15373437954083116
1932,company,C00114,S.E. de Ciment Portland Tourah,5.0,5.0,0.0,0.0,0.15373437954083116
1932,company,C00174,"Société Immobilière elu Domaine de Siouf. Baron Louis de Benoist d'Erquennes, Agent Supérieur de la Compagnf<> Universelle du Canal Maritime de Suez",0.0,0.0,0.0,0.0,0.0
1932,company,C00103,New Egyptian Co,12.0,14.0,0.007809570844537149,0.0,0.19811497409649834
1932,company,C00149,Société Belgo-Egyptienne de l'Ezbékieh,6.0,7.0,0.0,0.0,0.1798402175760666
1932,company,C00015,The Alexandria vVater Co. Ltd,15.0,17.0,0.046837350998705944,0.0,0.2149969518390571
1932,company,C00076,Filature Nationale d'Egypte,20.0,22.0,0.02936705254589065,0.0,0.2097403026498381
1932,company,C00097,National Bank of Egypt,12.0,13.0,0.007809570844537149,0.0,0.19811497409649834
1932,company,C00098,National Insurance Co,9.0,9.0,0.016999627293744945,0.0,0.18487884436160298
1932,company,C00159,Société Egyptienne de la Bourse Commerciale de Minet El Bassal,11.0,11.0,0.019088788106271258,0.0,0.18648648648648647
1932,company,C00095,"National Bank of Egypl, The Agr.icultural Bank of Egypt el elu Crédil Foncier Egyptien",0.0,0.0,0.0,0.0,0.0
1932,company,C00238,inistraleur-Directcnr en Egypte de The Sinaï Mining Cy,0.0,0.0,0.0,0.0,0.0
1932,company,C00099,National Insurance Co. of Egypt,2.0,2.0,0.0,0.0,0.11815948179584543
1932,company,C00003,"« Al-Chark » (L'Orient), Société Anonyme Egyptienne cl' Assurances sur la Vie",4.0,4.0,0.00024458847988259754,0.0,0.01876876876876877
1932,company,C00059,Crédit Agricole d'Egypte,5.0,5.0,0.0,0.0,0.17295117698343504
1932,company,C00113,S.A. Agricole et Industrielle d'Egypte,0.0,0.0,0.0,0.0,0.0
1932,company,C00170,Société Générale d'Electricité,1.0,3.0,0.0,0.0,0.006006006006006006
1932,company,C00094,Mécanique,2.0,4.0,4.076474664709959e-05,0.0,0.009009009009009009
1932,company,C00056,Crown Brewery,0.0,0.0,0.0,0.0,0.0
1932,company,C00039,Car ver Br os & Co Ltd,2.0,2.0,0.0,0.0,0.08807369998335089
